76,2,3.7172
65,2,3.3038
89,2,3.0617
74,2,2.9219
61,2,2.6147
77,2,2.4767
57,2,2.2108
53,2,1.7369
58,2,1.7226
94,2,1.707
79,2,1.569
75,2,1.5431
52,2,1.4708
56,2,1.4242
73,2,1.4232
86,2,1.3933
51,2,1.3707
59,2,1.3637
70,2,1.3341
84,2,1.2213
91,2,1.1927
85,2,1.1893
71,2,1.1688
62,2,1.1313
83,2,1.1089
93,2,0.99631
64,2,0.99601
78,2,0.97237
99,2,0.88553
131,3,0.8476
90,2,0.79359
69,2,0.79189
81,2,0.69783
72,2,0.65799
107,3,0.64905
124,3,0.54632
96,2,0.50985
87,2,0.43776
97,2,0.40451
195,4,0.35571
105,3,0.34584
147,3,0.24592
100,2,0.24433
80,2,0.19951
140,3,0.19802
88,2,0.18923
55,2,0.17086
200,4,0.15331
54,2,0.033886
92,2,0.025223
154,4,-0.02989
36,1,-0.10427
60,2,-0.12339
193,4,-0.15297
63,2,-0.17356
169,4,-0.17946
46,1,-0.20241
66,2,-0.20284
95,2,-0.28459
126,3,-0.29253
111,3,-0.30823
68,2,-0.35631
133,3,-0.37607
34,1,-0.40708
82,2,-0.42237
9,1,-0.45315
98,2,-0.49922
47,1,-0.51315
165,4,-0.51325
113,3,-0.55319
142,3,-0.56143
6,1,-0.60755
191,4,-0.62109
50,1,-0.62171
14,1,-0.62557
181,4,-0.66538
67,2,-0.67281
114,3,-0.67634
183,4,-0.68274
119,3,-0.68512
182,4,-0.68571
168,4,-0.69535
42,1,-0.70316
175,4,-0.70322
2,1,-0.70673
197,4,-0.71656
19,1,-0.73499
167,4,-0.74247
45,1,-0.75503
33,1,-0.76479
151,4,-0.7686
149,3,-0.78048
127,3,-0.82913
16,1,-0.88514
138,3,-0.88911
37,1,-0.89191
158,4,-0.90913
135,3,-0.91244
192,4,-0.91322
49,1,-0.92301
15,1,-0.93565
106,3,-0.94019
38,1,-0.94714
35,1,-0.96271
103,3,-0.99232
27,1,-1.0171
5,1,-1.0222
153,4,-1.035
30,1,-1.0546
139,3,-1.0657
13,1,-1.0793
4,1,-1.0824
25,1,-1.0835
178,4,-1.0896
122,3,-1.0972
31,1,-1.1048
166,4,-1.1167
8,1,-1.1355
150,3,-1.1429
116,3,-1.15
170,4,-1.1526
152,4,-1.1555
146,3,-1.1584
44,1,-1.1772
48,1,-1.1913
24,1,-1.1948
172,4,-1.1971
134,3,-1.2032
28,1,-1.2087
144,3,-1.2304
159,4,-1.2634
7,1,-1.2668
102,3,-1.2696
184,4,-1.2888
171,4,-1.303
157,4,-1.3044
163,4,-1.3095
11,1,-1.3201
123,3,-1.3273
104,3,-1.3279
128,3,-1.336
148,3,-1.3413
173,4,-1.344
12,1,-1.3497
40,1,-1.3574
162,4,-1.3631
121,3,-1.369
176,4,-1.3839
1,1,-1.387
179,4,-1.3908
29,1,-1.3928
101,3,-1.4232
23,1,-1.4427
174,4,-1.4495
189,4,-1.4521
196,4,-1.4742
129,3,-1.4749
160,4,-1.489
117,3,-1.4913
136,3,-1.4923
164,4,-1.4949
177,4,-1.5044
187,4,-1.5077
120,3,-1.5254
188,4,-1.5391
109,3,-1.5532
3,1,-1.5688
199,4,-1.5825
186,4,-1.5835
156,4,-1.6054
112,3,-1.6216
143,3,-1.6229
21,1,-1.6385
22,1,-1.6479
185,4,-1.6506
32,1,-1.6541
41,1,-1.7157
141,3,-1.7273
145,3,-1.7397
118,3,-1.7404
18,1,-1.7422
108,3,-1.752
190,4,-1.7883
180,4,-1.7904
43,1,-1.7929
194,4,-1.8597
161,4,-1.8823
125,3,-1.9191
20,1,-1.9192
10,1,-1.9376
155,4,-1.9507
130,3,-1.9881
110,3,-2.0348
132,3,-2.0688
115,3,-2.0763
39,1,-2.0992
26,1,-2.1678
198,4,-2.185
137,3,-2.2272
17,1,-2.4384
